DATE,DFF,MORTGAGE30US
2000-01,5.448387096774193,8.21
2000-02,5.7348275862068965,8.325
2000-03,5.853548387096774,8.24
2000-04,6.019666666666667,8.1525
2000-05,6.268064516129033,8.515
2000-06,6.528333333333333,8.288
2000-07,6.5445161290322575,8.1475
2000-08,6.496774193548387,8.0275
2000-09,6.5169999999999995,7.912000000000001
2000-10,6.509354838709677,7.795
2000-11,6.514333333333334,7.745
2000-12,6.402258064516129,7.382
2001-01,5.975806451612903,7.0325
2001-02,5.494285714285715,7.05
2001-03,5.3109677419354835,6.952
2001-04,4.8020000000000005,7.0775
2001-05,4.21225806451613,7.145
2001-06,3.969666666666667,7.159999999999999
2001-07,3.769032258064516,7.1275
2001-08,3.6525806451612906,6.95
2001-09,3.069,6.8175
2001-10,2.485161290322581,6.6175
2001-11,2.087,6.6579999999999995
2001-12,1.817741935483871,7.0649999999999995
2002-01,1.7296774193548385,6.9975
2002-02,1.7396428571428573,6.8925
2002-03,1.73,7.014
2002-04,1.7530000000000001,6.985
2002-05,1.751290322580645,6.806
2002-06,1.7503333333333333,6.65
2002-07,1.729032258064516,6.485
2002-08,1.7432258064516128,6.29
2002-09,1.7506666666666668,6.0925
2002-10,1.7548387096774194,6.1125
2002-11,1.3359999999999999,6.068
2002-12,1.2383870967741937,6.0475
2003-01,1.2351612903225806,5.9159999999999995
2003-02,1.2621428571428572,5.8425
2003-03,1.2529032258064516,5.745
2003-04,1.258,5.8125
2003-05,1.2590322580645161,5.484
2003-06,1.2226666666666666,5.23
2003-07,1.011290322580645,5.6325
2003-08,1.0290322580645161,6.264
2003-09,1.01,6.1475
2003-10,1.01,5.952
2003-11,0.996,5.9325
2003-12,0.9841935483870967,5.8759999999999994
2004-01,0.9970967741935484,5.7125
2004-02,1.007241379310345,5.635
2004-03,1.0016129032258065,5.445
2004-04,1.004,5.83
2004-05,1.0045161290322582,6.27
2004-06,1.0256666666666667,6.2875
2004-07,1.2635483870967743,6.056
2004-08,1.4293548387096775,5.8675
2004-09,1.605,5.754
2004-10,1.7609677419354839,5.7225
2004-11,1.932,5.73
2004-12,2.1561290322580646,5.752
2005-01,2.2793548387096774,5.71
2005-02,2.501785714285714,5.6275
2005-03,2.629032258064516,5.928
2005-04,2.7849999999999997,5.855
2005-05,3.00258064516129,5.72
2005-06,3.0356666666666663,5.582
2005-07,3.2625806451612904,5.695
2005-08,3.4996774193548386,5.82
2005-09,3.6229999999999998,5.774
2005-10,3.7793548387096774,6.065
2005-11,3.999,6.33
2005-12,4.1570967741935485,6.272
2006-01,4.285161290322581,6.145
2006-02,4.491428571428572,6.2525
2006-03,4.589354838709677,6.324
2006-04,4.790333333333334,6.5075
2006-05,4.940322580645161,6.5975
2006-06,4.991,6.6819999999999995
2006-07,5.235161290322581,6.7625
2006-08,5.2464516129032255,6.523999999999999
2006-09,5.254666666666666,6.4025
2006-10,5.245161290322581,6.3575
2006-11,5.245666666666667,6.24
2006-12,5.2380645161290325,6.135
2007-01,5.248387096774193,6.2175
2007-02,5.258928571428571,6.285
2007-03,5.256774193548387,6.156000000000001
2007-04,5.249666666666667,6.18
2007-05,5.2535483870967745,6.2620000000000005
2007-06,5.2540000000000004,6.657500000000001
2007-07,5.258387096774193,6.695
2007-08,5.022258064516129,6.572
2007-09,4.938,6.3825
2007-10,4.755483870967741,6.375
2007-11,4.486666666666666,6.208
2007-12,4.244516129032259,6.095
2008-01,3.9403225806451614,5.758
2008-02,2.9806896551724136,5.9175
2008-03,2.6103225806451613,5.97
2008-04,2.2783333333333333,5.9175
2008-05,1.9783870967741934,6.036
2008-06,2.001,6.32
2008-07,2.009677419354839,6.425999999999999
2008-08,1.996451612903226,6.4775
2008-09,1.8116666666666668,6.0375
2008-10,0.9693548387096774,6.2
2008-11,0.3876666666666667,6.0875
2008-12,0.15516129032258064,5.286
2009-01,0.15419354838709678,5.047499999999999
2009-02,0.22214285714285714,5.13
2009-03,0.18064516129032257,5.0025
2009-04,0.15033333333333332,4.8100000000000005
2009-05,0.1774193548387097,4.8575
2009-06,0.20633333333333334,5.42
2009-07,0.15580645161290324,5.2219999999999995
2009-08,0.16032258064516128,5.1925
